,Unnamed: 0,Name,Age,DOB,Occupation,gender,Gender,Nationality,LifeExpectancy,Probability,nationality_no,Politician,Pope-elect,Diplomat,Evangelist,Business magnate,Astronaut,Musician,Physicist,Actress,Actor,Guitarist,Singer,Pianist
0,0,Queen Elizabeth II,88,1926,Politician,1,Female,United Kingdom,5.56,0.106352,5,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,George Herbert Walker Bush,90,1924,Politician,0,Male,United States of America,3.99,0.169195,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Jimmy Carter,90,1924,Politician,0,Male,United States of America,3.99,0.169195,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Fidel Castro,88,1926,Politician,0,Male,Cuba,4.64,0.138305,92,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,Pope Benedict,87,1927,Pope-elect,0,Male,Germany,5,0.124795,2,0,1,0,0,0,0,0,0,0,0,0,0,0
5,5,Robert Mugabe,90,1924,Politician,0,Male,Zimbabwe,3.99,0.169195,229,1,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Shimon Peres,91,1923,Politician,0,Male,Belarus,3.7,0.186543,79,1,0,0,0,0,0,0,0,0,0,0,0,0
7,7,Ali Khamenei,75,1939,Politician,0,Male,Iran,10.89,0.037855,4,1,0,0,0,0,0,0,0,0,0,0,0,0
8,8,Hosni Mubarak,86,1928,Politician,0,Male,Egypt,5.38,0.112568,50,1,0,0,0,0,0,0,0,0,0,0,0,0
9,9,Helmut Schmidt,95,1918,Politician,0,Male,Germany,2.79,0.266454,2,1,0,0,0,0,0,0,0,0,0,0,0,0
10,10,Henry Kissinger,91,1923,Diplomat,0,Male,Germany,3.7,0.186543,2,0,0,1,0,0,0,0,0,0,0,0,0,0
11,11,Bashar al-Assad,49,1965,Politician,0,Male,Syria,30.31,0.00475,202,1,0,0,0,0,0,0,0,0,0,0,0,0
12,12,Lee Kwan Yew,91,1923,Politician,0,Male,Singapore,3.7,0.186543,37,1,0,0,0,0,0,0,0,0,0,0,0,0
13,13,Rev. Billy Graham,96,1918,Evangelist,0,Male,United States of America,2.62,0.286625,1,0,0,0,1,0,0,0,0,0,0,0,0,0
14,14,Rupert Murdoch,83,1931,Business magnate,0,Male,Australia,6.65,0.082891,3,0,0,0,0,1,0,0,0,0,0,0,0,0
15,15,Dick Cheney,73,1941,Politician,0,Male,United States of America,12.12,0.03148,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,16,John Glenn,93,1921,Astronaut,0,Male,United States of America,3.2,0.224867,1,0,0,0,0,0,1,0,0,0,0,0,0,0
17,17,Charles Manson,79,1934,Musician,0,Male,United States of America,8.63,0.055465,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18,18,Stephen Hawking,72,1942,Physicist,0,Male,United Kingdom,12.75,0.028808,5,0,0,0,0,0,0,0,1,0,0,0,0,0
19,19,Doris Day,90,1924,Actress,1,Female,United States of America,4.8,0.132384,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20,20,Dick van Dyke,88,1925,Actor,0,Male,United States of America,4.64,0.138305,1,0,0,0,0,0,0,0,0,0,1,0,0,0
21,21,Olivia de Havilland,98,1916,Actress,1,Female,Japan,2.76,0.270923,684,0,0,0,0,0,0,0,0,1,0,0,0,0
22,22,Zsa Zsa Gabor,97,1917,Actress,1,Female,Kingdom of Hungary,2.94,0.253602,698,0,0,0,0,0,0,0,0,1,0,0,0,0
23,23,B.B. King,89,1925,Musician,0,Male,United States of America,4.3,0.153107,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,24,Clint Eastwood,84,1930,Actor,0,Male,United States of America,6.21,0.091725,1,0,0,0,0,0,0,0,0,0,1,0,0,0
25,25,Kirk Douglas,97,1916,Actor,0,Male,United States of America,2.47,0.305869,1,0,0,0,0,0,0,0,0,0,1,0,0,0
26,26,Chuck Berry,88,1926,Guitarist,0,Male,United States of America,4.64,0.138305,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27,27,Jerry Lee Lewis,79,1935,Singer,0,Male,United States of America,8.63,0.055465,1,0,0,0,0,0,0,0,0,0,0,0,1,0
28,28,Mick Jagger,71,1943,Musician,0,Male,United Kingdom,13.4,0.026364,5,0,0,0,0,0,0,1,0,0,0,0,0,0
29,29,Keith Richards,70,1943,Musician,0,Male,United Kingdom,14.07,0.024139,5,0,0,0,0,0,0,1,0,0,0,0,0,0
30,30,Abe Vigoda,93,1921,Actor,0,Male,United States of America,3.2,0.224867,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,31,Fats Domino,86,1928,Pianist,0,Male,United States of America,5.38,0.112568,1,0,0,0,0,0,0,0,0,0,0,0,0,1
