,Ranges,Num_people_alive,Num_people_dead,Total_num_people,Num_people_dead/Total,Prob_Ranges,log_Prob
0,less than 0.0002,71623,11,71634,0.0001535583661389843,9e-05,-9.315700887634009
1,0.0002 <= x < 0.0004,26196,8,26204,0.0003052969012364525,0.0002,-8.517193191416238
2,0.0004 <= x < 0.0006,31798,0,31798,0.0,0.0004,-7.824046010856292
3,0.0006 <= x < 0.0010,25641,46,25687,0.001790789115116596,0.0006,-7.418580902748128
4,0.0010 <= x < 0.0020,131048,554,131602,0.0042096624671357575,0.001,-6.907755278982137
5,0.0020 <= x < 0.0040,61388,442,61830,0.007148633349506712,0.002,-6.214608098422191
6,0.0040 <= x < 0.0060,50258,420,50678,0.008287619874501757,0.004,-5.521460917862246
7,0.0060 <= x < 0.0100,35482,499,35981,0.013868430560573635,0.006,-5.115995809754082
8,0.0100 <= x < 0.0200,36738,840,37578,0.02235350471020278,0.01,-4.605170185988091
9,0.0200 <= x < 0.0400,33035,1233,34268,0.03598109022995214,0.02,-3.912023005428146
10,0.0400 <= x < 0.0600,12528,801,13329,0.06009453072248481,0.04,-3.2188758248682006
11,0.0600 <= x < 0.1000,11133,1029,12162,0.08460779477059695,0.06,-2.8134107167600364
12,0.1000 <= x < 0.2000,7590,1135,8725,0.13008595988538682,0.1,-2.3025850929940455
13,0.2000 <= x < 0.4000,2136,630,2766,0.227765726681128,0.2,-1.6094379124341003
14,0.4000 <= x < 0.6000,56,31,87,0.3563218390804598,0.4,-0.916290731874155
15,0.6000 <= x < 0.8000,1,1,2,0.5,0.6,-0.5108256237659907
16,0.8000 <= x < 1.0000,0,0,0,inf,0.8,-0.2231435513142097
