,NAME,GENDER,AGE,COUNTRY,PROBABILITY OF DEATH,CONTINENT,New_Death_Probability,Normalized,Percentage
4,Kirk Douglas,Male,98,United States,0.8109999999999999,Americas,0.35496,0.06915725794667471,6.9157257946674715
3,Rev. Billy Graham,Male,96,United States,0.8109999999999999,Americas,0.31547,0.06146337661831606,6.1463376618316055
1,Helmut Schmidt,Male,96,Germany,0.8170000000000001,Europe,0.31547,0.06146337661831606,6.1463376618316055
11,Olivia De Havilland,Female,98,Japan,0.649,Asia,0.30287,0.05900850437882964,5.900850437882964
2,Zsa Zsa Gabor,Female,97,Austria,0.8140000000000001,Europe,0.28359,0.05525216019015518,5.5252160190155175
9,Abe Vigoda,Male,93,United States,0.68,Americas,0.25138,0.04897664948905535,4.897664948905535
8,John Glenn,Male,93,United States,0.68,Americas,0.25138,0.04897664948905535,4.897664948905535
10,Shimon Peres,Male,91,Poland,0.6559999999999999,Europe,0.21141,0.04118924921824008,4.118924921824008
5,Henry Kissinger,Male,91,Germany,0.688,Europe,0.21141,0.04118924921824008,4.118924921824008
13,Lee Kuan Yew,Male,91,Singapore,0.537,Asia,0.21141,0.04118924921824008,4.118924921824008
0,Robert Mugabe,Male,90,Zimbabwe,0.847,Africa,0.19307,0.03761604629187651,3.761604629187651
7,Jimmy Carter,Male,90,United States,0.68,Americas,0.19307,0.03761604629187651,3.761604629187651
6,George Herbert Walker Bush,Male,90,United States,0.68,Americas,0.19307,0.03761604629187651,3.761604629187651
17,Dick Van Dyke,Male,89,United States,0.485,Americas,0.17584,0.03425910591994388,3.425910591994388
18,B.B. King,Male,89,United States,0.485,Americas,0.17584,0.03425910591994388,3.425910591994388
20,Fidel Castro,Male,88,Cuba,0.45799999999999996,Americas,0.15972999999999998,0.031120376413743378,3.1120376413743376
12,Doris Day,Female,90,United States,0.594,Americas,0.14886,0.029002562029361044,2.9002562029361045
19,Chuck Berry,Male,87,United States,0.485,Americas,0.14473,0.02819790946197383,2.819790946197383
14,Pope Benedict XVI,Male,87,Germany,0.49200000000000005,Europe,0.14473,0.02819790946197383,2.819790946197383
16,Fats Domino,Male,86,United States,0.485,Americas,0.13083,0.025489756753334043,2.5489756753334043
15,Hosni Mubarak,Male,86,Egypt,0.485,Africa,0.13083,0.025489756753334043,2.5489756753334043
21,Queen Elizabeth II,Female,88,United Kingdom,0.381,Europe,0.11955,0.02329206160560334,2.329206160560334
23,Clint Eastwood,Male,84,United States,0.318,Americas,0.10625,0.020700807575034334,2.0700807575034332
25,Rupert Murdoch,Male,83,Australia,0.28300000000000003,Australia,0.09557,0.018620011105374413,1.8620011105374412
22,Charles Manson,Male,80,United States,0.318,Americas,0.06978,0.013595316259631961,1.3595316259631962
26,Jerry Lee Lewis,Male,79,United States,0.20600000000000002,Americas,0.06305,0.012284102753938021,1.2284102753938022
24,Ali Khamenei,Male,75,Iran,0.295,Asia,0.04299,0.00837579028377154,0.837579028377154
27,Dick Cheney,Male,73,United States,0.13699999999999998,Americas,0.03633,0.0070782149571858586,0.7078214957185859
30,Stephen Hawking,Male,72,United Kingdom,0.12300000000000001,Europe,0.03343,0.0065132046798437445,0.6513204679843745
28,Mick Jagger,Male,71,United States,0.13699999999999998,Americas,0.03059,0.005959884270308709,0.5959884270308708
29,Keith Richards,Male,71,United States,0.13699999999999998,Americas,0.03059,0.005959884270308709,0.5959884270308708
31,Bashar Al-Assad,Male,49,Syria,0.038,Asia,0.00457,0.0008903782646391239,0.0890378264639124
